,STATE_NAME,likes_Mean,retweet_count_Mean,user_followers_count_Mean,TextBlob_Subjectivity_Mean,TextBlob_Polarity_Mean,likes_Skewness,retweet_count_Skewness,user_followers_count_Skewness,TextBlob_Subjectivity_Skewness,TextBlob_Polarity_Skewness,likes_Median,retweet_count_Median,user_followers_count_Median,TextBlob_Subjectivity_Median,TextBlob_Polarity_Median,STATE_FIPS_Counts,SUB_REGION_Counts,STATE_ABBR_Counts,geometry_Counts,created_at_Counts,likes_Counts,retweet_count_Counts,user_name_Counts,user_screen_name_Counts,user_description_Counts,user_followers_count_Counts,clean_tweet_Counts,Languages_Counts,TextBlob_Subjectivity_Counts,TextBlob_Polarity_Counts,TextBlob_Analysis_Counts,likes_Variance,retweet_count_Variance,user_followers_count_Variance,TextBlob_Subjectivity_Variance,TextBlob_Polarity_Variance,likes_Std,retweet_count_Std,user_followers_count_Std,TextBlob_Subjectivity_Std,TextBlob_Polarity_Std
10,Georgia,0.058701878096662524,0.03735233799493216,1.0723058944241473,-0.5873076513446523,1.4159228518367637,0.46826063509539473,-0.15759018053675833,-0.39418129485405745,0.3764286523663585,1.0931026665768535,-0.1414213562373095,0.0,-0.3238356250748431,-0.11895327929002163,0.0,-0.11760737286906246,-0.11760737286906246,-0.11760737286906246,-0.11760737286906246,-0.11760737286906246,-0.11760737286906246,-0.11760737286906246,-0.11760595963563479,-0.11760737286906246,-0.11855616700623738,-0.11760737286906246,-0.11760737286906246,-0.11760737286906246,-0.11760737286906246,-0.11760737286906246,-0.11760737286906246,-0.18899350486757352,-0.21441664400555518,0.3484916713048533,-0.3329497695727376,0.05356762783354099,-0.14326463774281292,-0.1591329648218015,1.0689402655323166,-0.3339260701039818,0.07362600991837198
11,Hawaii,-0.3649467494588259,-0.46011595374379577,0.46781739265229194,-0.15319320938912998,-1.314157453388864,-0.7657823345822314,-1.0812673349214978,-0.9299917869606158,0.5691879818515041,-0.7753030732340531,-0.1414213562373095,0.0,0.8997866194922475,-0.35046855420479717,0.0,-0.47684918845558777,-0.47684918845558777,-0.47684918845558777,-0.47684918845558777,-0.47684918845558777,-0.47684918845558777,-0.47684918845558777,-0.4768479663163365,-0.47684918845558777,-0.47462582807572623,-0.47684918845558777,-0.47684918845558777,-0.47684918845558777,-0.47684918845558777,-0.47684918845558777,-0.47684918845558777,-0.20355207736373077,-0.24380955904015272,-0.3015115142803191,0.9672027420216501,0.2873647483221449,-0.3851357895937337,-0.5131596756058021,-0.3437556627794766,1.0199593349598897,0.3039473949043372
12,Idaho,-0.5010412172865639,-0.5552752973160952,-0.48642307972382237,1.2210024795251024,-1.8840560496743977,-0.9749612589936496,-0.8673798181904018,-0.3477277272390783,-1.037162334430964,-2.261248674040029,-0.1414213562373095,0.0,-0.42014936167761946,1.1775322602327207,0.0,-0.49769770781814116,-0.49769770781814116,-0.49769770781814116,-0.49769770781814116,-0.49769770781814116,-0.49769770781814116,-0.49769770781814116,-0.49769649676899824,-0.49769770781814116,-0.49508499066534306,-0.49769770781814116,-0.49769770781814116,-0.49769770781814116,-0.49769770781814116,-0.49769770781814116,-0.49769770781814116,-0.20397577113450624,-0.2438693313958869,-0.3181112945931315,0.14443684357989084,0.49771249225890885,-0.41659213858445243,-0.5167830275874474,-0.5038253978181545,0.17150382405517628,0.5093424899338264
13,Illinois,-0.11325011683903524,-0.1688917398826672,0.09938503968641497,0.1601234374768203,-0.3296348477875946,-0.11905348125187165,0.35661210779020075,4.458859905276765,-0.08699691603344761,0.011434743240795674,-0.1414213562373095,0.0,0.13146567522919061,0.07618102385243125,0.0,0.34678022448456436,0.34678022448456436,0.34678022448456436,0.34678022448456436,0.34678022448456436,0.34678022448456436,0.34678022448456436,0.34678188474314786,0.34678022448456436,0.33571747449341244,0.34678022448456436,0.34678022448456436,0.34678022448456436,0.34678022448456436,0.34678022448456436,0.34678022448456436,-0.19385576288892298,-0.21824678311568002,0.17610170527621188,-0.17447569378586283,-0.19058558039677415,-0.19579741977198756,-0.1857443461093313,0.831644958309315,-0.16502230792955086,-0.1692417209861448
14,Indiana,-0.44527170687872814,-0.503819762543687,-0.6613575208804172,2.966367848636222,-1.4562675317245573,0.6375540007314043,0.8895336709187383,-0.5350686989227071,-0.7091186873097003,0.5406930793873742,-0.1414213562373095,0.0,-0.8874898790570003,0.8997139303349895,0.0,-0.3370813167723325,-0.3370813167723325,-0.3370813167723325,-0.3370813167723325,-0.3370813167723325,-0.3370813167723325,-0.3370813167723325,-0.33708002028531553,-0.3370813167723325,-0.3359046825171083,-0.3370813167723325,-0.3370813167723325,-0.3370813167723325,-0.3370813167723325,-0.3370813167723325,-0.3370813167723325,-0.2021677455548675,-0.2383407132096245,-0.32145743901815516,5.6946438780136095,-0.8790102218097322,-0.3347284649310187,-0.3817455778726568,-0.56676202744716,5.446682479263585,-0.8675798161014033
15,Iowa,-0.20125679266494198,-0.14262863858931535,-0.025326680848232686,-0.05215080089084187,-0.40656298646421596,-0.5081012407702586,-0.5606770780083815,-0.8751182172311306,-0.18113627418978526,0.4472880521988064,-0.1414213562373095,0.0,-0.30851298516076503,0.06625894064179806,0.0,-0.46458092615921154,-0.46458092615921154,-0.46458092615921154,-0.46458092615921154,-0.46458092615921154,-0.46458092615921154,-0.46458092615921154,-0.4645796974940121,-0.46458092615921154,-0.4644363627859955,-0.46458092615921154,-0.46458092615921154,-0.46458092615921154,-0.46458092615921154,-0.46458092615921154,-0.46458092615921154,-0.20002135882691743,-0.23551833669304065,-0.3063097641158363,-0.4479689204499648,-1.1410885600693819,-0.28633402618565346,-0.3432041011440369,-0.3801825567706832,-0.45722994049048654,-1.1389596562273296
16,Kansas,0.6506628442118679,0.671504221422245,1.3758432264350335,-0.4189844588552184,-0.17008310409451233,1.744826079023347,2.199296811911726,0.16910496922175797,0.4476056589342233,-0.066048681338533,-0.1414213562373095,0.0,-0.017382826793281948,-0.0726502243070667,0.0,4.222045801882221,4.222045801882221,4.222045801882221,4.222045801882221,4.222045801882221,4.222045801882221,4.222045801882221,4.222049523539706,4.222045801882221,4.134783387359876,4.222045801882221,4.222045801882221,4.222045801882221,4.222045801882221,4.222045801882221,4.222045801882221,0.30807316324148826,0.7384305012194361,0.7677702903134083,-0.11510447328774312,-0.33766017884727484,1.290655959373399,1.739072293542296,1.5414561414503605,-0.10203351305866118,-0.3167277743609757
17,Kentucky,-0.07357259905990846,0.38656395861242626,-0.08995635174926322,-0.4241215417020351,1.288182206743115,-0.8323939281253993,-0.598740599889794,-0.5569452140988281,0.3891108518884005,1.612491906914378,-0.1414213562373095,0.0,-0.41796041311846543,-0.11895327929002163,0.0,-0.3721549991656534,-0.3721549991656534,-0.3721549991656534,-0.3721549991656534,-0.3721549991656534,-0.3721549991656534,-0.3721549991656534,-0.3721537213356418,-0.3721549991656534,-0.36888003869096136,-0.3721549991656534,-0.3721549991656534,-0.3721549991656534,-0.3721549991656534,-0.3721549991656534,-0.3721549991656534,-0.19950695276238753,-0.1331836401088183,-0.3042582880836596,-0.10259041833909917,0.1099863531514487,-0.27685108248377077,0.21324523448262117,-0.3640450662635286,-0.08877692290694592,0.12940458087478232
18,Louisiana,0.2189064641295913,-0.12436250498856048,-0.052525276294401124,-0.05432431255531493,0.4126399807523156,-0.6190524863637038,-0.47636909858257637,-0.8732739110340915,-0.2335731426539435,-0.9084616522248751,-0.1414213562373095,0.0,-0.28224560245091695,0.06625894064179806,0.0,-0.41227146422067495,-0.41227146422067495,-0.41227146422067495,-0.41227146422067495,-0.41227146422067495,-0.41227146422067495,-0.41227146422067495,-0.4122702077301136,-0.41227146422067495,-0.41260648422563273,-0.41227146422067495,-0.41227146422067495,-0.41227146422067495,-0.41227146422067495,-0.41227146422067495,-0.41227146422067495,-0.18846104205654024,-0.23072305167049287,-0.3112768014322391,-0.14836858354784566,-0.4067302628453546,-0.13806608235855,-0.29008796210330157,-0.42392361844659276,-0.13730514368201038,-0.3863046783345456
19,Maine,-0.4101428094689303,-0.5133802675735235,-0.44821543829298144,-0.6028324944538763,-0.23553841783148222,-0.9828007843668531,-0.9705148019414622,-0.6782436895698605,-0.1720002969244397,-0.22401793094505112,-0.1414213562373095,0.0,0.18400044064888682,0.06625894064179806,0.0,-0.5206536587408083,-0.5206536587408083,-0.5206536587408083,-0.5206536587408083,-0.5206536587408083,-0.5206536587408083,-0.5206536587408083,-0.5206524599027954,-0.5206536587408083,-0.5242894423618942,-0.5206536587408083,-0.5206536587408083,-0.5206536587408083,-0.5206536587408083,-0.5206536587408083,-0.5206536587408083,-0.2036552759349758,-0.24379272898036133,-0.31900158851471977,-0.9064007052446095,0.632333093999052,-0.3909144493422708,-0.5121896910414613,-0.5176732483154514,-0.9548489583809829,0.6399065713085171
20,Maryland,-0.4437503344660698,-0.48273530898298483,-0.56735628773904,0.8945150164533977,0.30038138235114675,0.07807000477358927,0.274238024674442,0.2522867505321625,-0.6724199841355506,-1.1764732588662636,-0.1414213562373095,0.0,-0.2187660942354507,0.8997139303349895,0.0,-0.24706388299033283,-0.24706388299033283,-0.24706388299033283,-0.24706388299033283,-0.24706388299033283,-0.24706388299033283,-0.24706388299033283,-0.24706253861967145,-0.24706388299033283,-0.23970650234083138,-0.24706388299033283,-0.24706388299033283,-0.24706388299033283,-0.24706388299033283,-0.24706388299033283,-0.24706388299033283,-0.20316685928453113,-0.24119332121442408,-0.31607142877253097,-0.37251606404175186,-0.09166302325097811,-0.36751277755557427,-0.43205419776620624,-0.47614795180360364,-0.3762738630900759,-0.07054691728226886
21,Massachusetts,-0.2680562883215985,-0.27698490885454063,0.40374693834784153,0.7151586254855766,0.43117157760440633,0.07210699476797881,1.3762730171139783,-0.2531611688895708,-0.6637659355319553,-0.8240646471778453,-0.1414213562373095,0.0,0.09425354972357247,0.6913501829116923,0.0,0.062201698456353184,0.062201698456353184,0.062201698456353184,0.062201698456353184,0.062201698456353184,0.062201698456353184,0.062201698456353184,0.06220320733696031,0.062201698456353184,0.06196585584332322,0.062201698456353184,0.062201698456353184,0.062201698456353184,0.062201698456353184,0.062201698456353184,0.062201698456353184,-0.19550556144469738,-0.17299636424814074,-0.03941374757032957,-0.100416405034048,0.8645799352472918,-0.21640599758383347,0.05940841006329494,0.4663112487090664,-0.08647461860693732,0.8635641269876847
22,Michigan,-0.38537967231359854,-0.3828291264239637,-0.4779159346474985,0.9407768564150019,0.3520922087011402,0.3966795503599408,1.2304780519653666,0.781368439494678,-1.0091564836821998,-0.8872567270805075,-0.1414213562373095,0.0,-0.15966448313829248,0.8520879309239493,0.0,-0.11527414507036515,-0.11527414507036515,-0.11527414507036515,-0.11527414507036515,-0.11527414507036515,-0.11527414507036515,-0.11527414507036515,-0.11527273059580623,-0.11527414507036515,-0.11229807021411926,-0.11527414507036515,-0.11527414507036515,-0.11527414507036515,-0.11527414507036515,-0.11527414507036515,-0.11527414507036515,-0.2008338478931914,-0.22200329330991653,-0.3029309005803335,-0.111823965692785,0.8774245956366586,-0.30263674644498567,-0.2138295107890578,-0.35406792065817827,-0.0985576824605109,0.8758758175511482
23,Minnesota,-0.3942910421683912,-0.45173348899986243,-0.5440696787482803,0.7802228960946257,-0.3387999796225325,-0.22492704295186206,0.2532404513511128,1.9843627708510732,-0.6858839775205996,0.3512437024415563,-0.1414213562373095,0.0,-0.44422779582831357,0.621895600437259,0.0,-0.314727489152555,-0.314727489152555,-0.314727489152555,-0.314727489152555,-0.314727489152555,-0.314727489152555,-0.314727489152555,-0.31472618077469994,-0.314727489152555,-0.31335948766345206,-0.314727489152555,-0.314727489152555,-0.314727489152555,-0.314727489152555,-0.314727489152555,-0.314727489152555,-0.20246753973279108,-0.2370360164643619,-0.2975069412717258,0.37494480510566947,0.02499011062612656,-0.3433934679894067,-0.3629864024975522,-0.3163618743155687,0.412016249909293,0.04532403307596536
24,Mississippi,-0.3362012454658692,-0.34933606333698236,-0.7429763190043721,0.7248335663700286,-0.853869861212081,-0.7856071510426399,-0.8041947491345562,-0.6426624417726123,-1.8610680065686014,-0.8900471422173505,-0.1414213562373095,0.0,-0.6346663204747123,1.1775322602327207,0.0,-0.5436848750763367,-0.5436848750763367,-0.5436848750763367,-0.5436848750763367,-0.5436848750763367,-0.5436848750763367,-0.5436848750763367,-0.5436836884894903,-0.5436848750763367,-0.5452299970124432,-0.5436848750763367,-0.5436848750763367,-0.5436848750763367,-0.5436848750763367,-0.5436848750763367,-0.5436848750763367,-0.2016513455388883,-0.2392511374103257,-0.32272309660176557,-0.8016638499748994,-0.06539292270431112,-0.32127334931221047,-0.39610814941209094,-0.6103728218308607,-0.8402721622497309,-0.04440471848393286
25,Missouri,-0.3577862789658684,-0.45693754845044793,-0.5034180252694325,0.24950341680625276,0.048031318341386915,1.2421646848032575,0.572604236296602,-0.2652473204174469,-0.10259005899442405,0.27222240869588055,-0.1414213562373095,0.0,-0.5055183554846258,0.06625894064179806,0.0,-0.267084482811413,-0.267084482811413,-0.267084482811413,-0.267084482811413,-0.267084482811413,-0.267084482811413,-0.267084482811413,-0.26708314909045855,-0.267084482811413,-0.29627006950036033,-0.267084482811413,-0.267084482811413,-0.267084482811413,-0.267084482811413,-0.267084482811413,-0.267084482811413,-0.18705823755007867,-0.23448144959138542,-0.3148663216921282,0.27762310024143,-0.16935263098915856,-0.12478004602264062,-0.33067075268915636,-0.4616728461217872,0.31074452814014164,-0.14802369660867998
26,Montana,-0.10250357761648814,0.14855540965681266,-0.49809389509081575,0.8143385101124171,-1.422970937218176,-0.39635942424499676,-0.2968314687639735,0.40646045379110723,-0.9264441646151231,-2.2291213557850407,-0.1414213562373095,0.0,-0.4551725386240836,0.621895600437259,0.0,-0.5392442157175256,-0.5392442157175256,-0.5392442157175256,-0.5392442157175256,-0.5392442157175256,-0.5392442157175256,-0.5392442157175256,-0.5392430267685263,-0.5392442157175256,-0.5437858208296468,-0.5392442157175256,-0.5392442157175256,-0.5392442157175256,-0.5392442157175256,-0.5392442157175256,-0.5392442157175256,-0.17092847818849494,-0.03200774287053897,-0.3086740865451801,-0.00028680432640087306,-0.241660893415387,6.619793206922771e-05,0.5087505889784957,-0.4000568161184587,0.01933819196647604,-0.22035763742922837
27,Nebraska,-0.40946749938728283,-0.5429239687555657,-0.3642668907906679,-0.8437127573622983,0.828596160726911,-0.2673242100161447,-0.650066247742507,-0.3529527327724204,0.8763768626591344,-0.27578018398497073,-0.1414213562373095,0.0,0.022018247271490203,-0.49400802465195814,0.0,-0.5160624685562749,-0.5160624685562749,-0.5160624685562749,-0.5160624685562749,-0.5160624685562749,-0.5160624685562749,-0.5160624685562749,-0.516061267276036,-0.5160624685562749,-0.5203580738642816,-0.5160624685562749,-0.5160624685562749,-0.5160624685562749,-0.5160624685562749,-0.5160624685562749,-0.5160624685562749,-0.20196287923669137,-0.24369754015425626,-0.3003334813624606,0.2618498102989991,-0.402410604497359,-0.32919531890152,-0.5070412780360913,-0.3354514375770689,0.2942935252371783,-0.38194739591317434
28,Nevada,0.4806729269740507,0.18321102980770126,1.2576495049526508,0.27272064591876444,0.9307619932198439,1.72252171373317,1.737263801404441,2.2077813058445566,-0.2124166893370532,-0.3873115953257088,-0.1414213562373095,0.0,-0.03708336382566802,0.08941046813327552,0.0,-0.226064832802057,-0.226064832802057,-0.226064832802057,-0.226064832802057,-0.226064832802057,-0.226064832802057,-0.226064832802057,-0.22606347726121434,-0.226064832802057,-0.21908687573090377,-0.226064832802057,-0.226064832802057,-0.226064832802057,-0.226064832802057,-0.226064832802057,-0.226064832802057,0.42804007787205833,0.037577391522907615,0.7501507679726523,0.3436339146985814,0.36532575649924365,1.4827280017925693,0.6714769922198816,1.5236654694478258,0.3794778650837117,0.38027198514389227
