STATE_NAME,likes_Mean,retweet_count_Mean,user_followers_count_Mean,TextBlob_Subjectivity_Mean,TextBlob_Polarity_Mean,likes_Skewness,retweet_count_Skewness,user_followers_count_Skewness,TextBlob_Subjectivity_Skewness,TextBlob_Polarity_Skewness,likes_Median,retweet_count_Median,user_followers_count_Median,TextBlob_Subjectivity_Median,TextBlob_Polarity_Median,likes_Variance,retweet_count_Variance,user_followers_count_Variance,TextBlob_Subjectivity_Variance,TextBlob_Polarity_Variance,likes_Std,retweet_count_Std,user_followers_count_Std,TextBlob_Subjectivity_Std,TextBlob_Polarity_Std,likes_0_1_quant,retweet_count_0_1_quant,user_followers_count_0_1_quant,TextBlob_Subjectivity_0_1_quant,TextBlob_Polarity_0_1_quant,likes_0_9_quant,retweet_count_0_9_quant,user_followers_count_0_9_quant,TextBlob_Subjectivity_0_9_quant,TextBlob_Polarity_0_9_quant
Georgia,5.893929396238865,1.50940283734741,12483.699109204883,0.30998099594446177,0.07987389336505028,40.06551667650242,24.44617096750862,8.06061545613228,0.5305487605900322,0.4826380786471602,0.0,0.0,466.0,0.2888888888888889,0.0,2668.54789582607,151.65896123383473,5936024396.732092,0.09605541499048428,0.07872189147655,51.65798966109764,12.314989290853433,77045.5994637727,0.30992808035169106,0.2805742174123453,0.0,0.0,29.0,0.0,-0.1708333333333333,4.0,1.0,5364.0,0.75,0.45
Hawaii,2.4763382467028703,0.5011636927851048,8636.946470131885,0.31954178790418586,0.04945444678039043,13.456095860997976,4.4659849359023855,1.6273760251893628,0.5536156091477392,0.1687086517933901,0.0,0.0,1025.0,0.275,0.0,91.93596918984818,2.017273489488213,191047607.55846786,0.10669133550215745,0.08021528176121469,9.588324628935348,1.42030753341951,13821.997234787303,0.3266363964749756,0.2832230247723774,0.0,0.0,65.0,0.0,-0.20547619047619037,6.0,2.0,42716.0,0.8,0.40181818181818224
Idaho,1.3784584980237153,0.308300395256917,2564.4950592885375,0.3498066163085926,0.04310445045420264,8.945612707520683,9.09261487238942,8.618362882304787,0.3613891702237137,-0.08095984411056287,0.0,0.0,422.0,0.3666666666666667,0.0,16.949604743082997,1.7129676327199228,44332399.51431785,0.09996068458428116,0.0815588880320694,4.116989767182206,1.3088038939122708,6658.257993973938,0.3161655967752993,0.28558516773822373,0.0,0.0,46.0,0.0,-0.25,3.0,1.0,6330.799999999991,0.7991666666666665,0.40562499999999985
Illinois,4.506785480706344,1.0913996075866579,6292.372302158274,0.3264421694365528,0.060424319261853154,27.401380291646113,35.56895053381031,66.3289332076689,0.47509221053562156,0.3008962952734041,0.0,0.0,674.0,0.3005952380952381,0.0,1808.0135260244642,132.15941584814996,4412375935.4874325,0.09735181495756437,0.07716235118632386,42.52074230330962,11.49606088397891,66425.7174254628,0.3120125237191039,0.277781121004153,0.0,0.0,34.0,0.0,-0.225,4.0,1.0,8353.9,0.7666666666666666,0.4184922889610388
Indiana,1.8283534647171011,0.4125874125874126,1451.27368086459,0.38824596219307755,0.04787100986507333,43.71595553331017,47.09664927683606,6.3690427517340735,0.4006450295830252,0.38982225101409385,0.0,0.0,208.5,0.35,0.0,336.9384136314621,29.859606212547526,14757895.140655238,0.14536425094679625,0.07276500587659006,18.35588226241011,5.464394404922427,3841.600596191025,0.3812666402228187,0.26974989504463215,0.0,0.0,26.5,0.0,-0.1666666666666666,3.0,1.0,3560.5,1.0,0.375
Iowa,3.796831955922865,1.1446280991735538,5498.750688705234,0.32176711227351557,0.0595671608109271,19.012421556231647,15.726943518659768,2.286218690088346,0.4638268760705557,0.3741283436224716,0.0,0.0,473.0,0.3,0.0,716.8112098049601,44.228551412249175,148638840.1169879,0.0951144988016979,0.07109096796132376,26.77333019639059,6.650454977837921,12191.752955050719,0.3084063857991561,0.26662889558583813,0.0,0.0,22.0,0.0,-0.2,6.0,2.0,37722.0,0.75,0.4
Kansas,10.669303201506592,2.794664155681105,14415.304143126177,0.31368808990369235,0.06220209691017769,67.59184106768946,75.42831374439795,14.823744320433045,0.5390662691105129,0.28787753465274907,0.0,0.0,606.0,0.2916666666666667,0.0,90640.6279690058,5002.680195637324,9641769211.247759,0.09783750227214309,0.0762229051572713,301.06581999457495,70.72962742470318,98192.51097333115,0.312789869196787,0.2760849600345359,0.0,0.0,24.0,0.0,-0.2,3.0,1.0,11514.199999999997,0.75,0.4333333333333333
Kentucky,4.826865671641791,2.217164179104478,5087.4701492537315,0.31357495250112855,0.07845056536891828,12.019763442002446,14.90358630494226,6.106381116480665,0.5320663959570722,0.569905829467534,0.0,0.0,423.0,0.2888888888888889,0.0,807.8520588546626,565.2226989353354,166770570.00657412,0.09793987371897371,0.07908226878182589,28.42273841231106,23.77441269380456,12913.9680194189,0.3129534689358367,0.2812156979647934,0.0,0.0,25.0,0.0,-0.1666666666666666,6.0,1.0,17228.0,0.75,0.4667613636363635
Louisiana,7.186306474149977,1.1816488122962272,5325.668374476013,0.3217192435761452,0.06869498787723709,16.620002121459763,17.550620877009564,2.3083624583129607,0.4575519356724239,0.1463353548736953,0.0,0.0,485.0,0.3,0.0,2762.7844722322156,68.64173204249968,104738264.35595669,0.09756538463250998,0.07578171669358055,52.56219622725268,8.285030599973647,10234.171405441512,0.31235458157758783,0.2752847919765648,0.0,0.0,29.0,0.0,-0.19499999999999992,6.0,1.0,22722.0,0.75,0.47125000000000056
Maine,2.1117397454031117,0.3932107496463932,2807.6350777934936,0.30963908196780154,0.06147277242250869,8.776570595718134,6.861688025351102,4.650004007765296,0.4649201471696473,0.2613355502578,0.0,0.0,698.0,0.3,0.0,73.67163252140668,2.102956673651988,36463641.28590667,0.09136428951500357,0.08241878356172477,8.583218074906794,1.4501574651230078,6038.513168480025,0.302265263493845,0.2870867178427535,0.0,0.0,40.0,0.0,-0.1999999999999999,4.0,1.0,4231.0,0.7290476190476189,0.44999999999999996
Maryland,1.8406264394288347,0.4553201289728236,2049.4645324735143,0.34261616510446874,0.06744416590280763,31.651914447390272,33.78710554931229,15.822471152672346,0.40503663766053516,0.10130405986621795,0.0,0.0,514.0,0.35,0.0,160.11281121771117,15.336750081783178,62361513.91293206,0.0957317422219735,0.07779422374945458,12.65356910984846,3.916216296603544,7896.930664057528,0.3094054657273745,0.278916158996668,0.0,0.0,36.0,0.0,-0.2,3.0,1.0,5022.0,0.75,0.425
Massachusetts,3.2579576381493314,0.8723228020352621,8229.224588806059,0.3386660796547292,0.0689014729830017,31.523335259740264,57.6253742103451,9.753781693591572,0.4060722380077834,0.16051573489397417,0.0,0.0,657.0,0.3375,0.0,1516.028124538323,362.53292737318407,2507567925.666708,0.09795765827309155,0.08390227136362464,38.936205831312364,19.040297460207498,50075.622069692836,0.3129818817009885,0.289658887941704,0.0,0.0,28.0,0.0,-0.2,3.0,1.0,9031.0,0.7625,0.45
Michigan,2.3115050057442965,0.6578040374199902,2618.6315443952076,0.34363502046794053,0.06802034482215714,38.522028116575235,54.47166350924937,22.17492082240861,0.36474053443356513,0.14989820519855152,0.0,0.0,541.0,0.3471428571428571,0.0,573.0148988015603,113.03472117827025,178502528.50456637,0.09786433852228042,0.08398431724594858,23.93772960833087,10.631778834149545,13360.483842457443,0.31283276446414693,0.28980047833975114,0.0,0.0,24.0,0.0,-0.2,4.0,1.0,4062.0,0.7666666666666666,0.4375
Minnesota,2.2396166134185305,0.5181527737438281,2197.6523380772583,0.3400990334917454,0.06032219836901328,25.118449935301012,33.33290418769924,36.61874131807681,0.4034254477003685,0.357990977401959,0.0,0.0,411.0,0.3333333333333333,0.0,283.8801035136342,36.50192197897761,226441555.61151922,0.1018463590218819,0.07853935121913282,16.848741897056712,6.041682048815347,15047.97513327023,0.3191337635253937,0.280248730985767,0.0,0.0,34.200000000000045,0.0,-0.2125,4.0,1.0,4918.0,0.7999999999999999,0.43727120535714303
Mississippi,2.708229426433915,0.7256857855361596,931.8802992518703,0.33887915733213203,0.054583121492633425,13.028617323582901,10.459379686440274,5.077212301935626,0.2627952011753868,0.14942935980489425,0.0,0.0,324.0,0.3666666666666667,0.0,428.33215710723124,25.22456359102241,3571529.2856359105,0.09222109120354177,0.07796202527263653,20.69618701856048,5.022406155521715,1889.8490113328924,0.303679257117673,0.27921680693080875,0.0,0.0,13.0,0.0,-0.25,3.0,1.0,2133.0,0.75,0.4
Missouri,2.534102060843965,0.5076054955839058,2456.3451913640824,0.3284106443481078,0.06463239905547825,56.753054335648294,40.24110561357418,9.608668621483195,0.4732262325402621,0.34471382409085116,0.0,0.0,383.0,0.3,0.0,3011.056260076938,49.507426804818884,73012711.25921865,0.10105021710178734,0.07729797766578533,54.873092313782884,7.03615141997519,8544.747583119039,0.31788396798484087,0.2780251385500695,0.0,0.0,35.0,0.0,-0.2,2.0,1.0,4398.5,0.7795833333333333,0.4520833333333333
Montana,4.593478260869565,1.7347826086956522,2490.2260869565216,0.3408503844183192,0.04824201139792172,21.421887913295638,21.43422374238385,17.67356657098059,0.3746384342803481,-0.0755618139122836,0.0,0.0,406.0,0.3333333333333333,0.0,5865.740698114993,1080.3173060528563,127742054.10127883,0.09877677023456917,0.07683610518257157,76.58812374066225,32.86818075362335,11302.30304412684,0.3142877188732789,0.2771932632344653,0.0,0.0,28.900000000000006,0.0,-0.25,3.0,1.0,7012.0,0.75,0.40083333333333354
Nebraska,2.1171875,0.3333333333333333,3341.8541666666665,0.3043340152427764,0.07332970751316757,24.204248333315093,13.79335424234134,8.555628553434447,0.5903758500716275,0.25263845942616586,0.0,0.0,624.0,0.2663888888888889,0.0,373.1961579204694,2.587570621468925,201459513.09995666,0.10092118342570763,0.07580930871779575,19.31828558440084,1.6085927456845395,14193.643404706088,0.3176809459594762,0.27533490283252454,0.0,0.0,20.0,0.0,-0.1555555555555555,3.0,1.0,4616.0,0.75,0.4535653409090922
Nevada,9.297987448604198,1.8050205583207097,13663.160787708288,0.32892197287342956,0.07446807259288604,67.11089651663862,65.43401491514118,39.30122878351027,0.46008365595793416,0.23389895799328472,0.0,0.0,597.0,0.3013888888888889,0.0,111872.66724486652,1434.58080595737,9486041133.095589,0.10159021973164509,0.08071326142816276,334.4737168222139,37.875860464910495,97396.30964823868,0.31873220692557114,0.28410079448703196,0.0,0.0,33.0,0.0,-0.1888888888888888,5.0,2.0,10251.0,0.7666666666666667,0.4872023809523809
New Hampshire,2.3843797856049003,0.6232771822358346,3285.23124042879,0.2976923429322932,0.0856550121978502,20.242607643195154,20.83861012926325,3.1269378472752676,0.5891567300189863,0.5458879746786646,0.0,0.0,391.0,0.25,0.0,167.90263907026556,29.940684335628916,37698744.104421325,0.09320302562141274,0.07556126710340282,12.957725073108534,5.471808141339471,6139.930301267379,0.30529170578548764,0.2748840975818769,0.0,0.0,45.2,0.0,-0.1333333333333333,4.0,1.0,10563.0,0.7206349206349213,0.40480000000000044
New Jersey,8.093757094211124,2.9080590238365494,8491.61634506243,0.3187620036810567,0.06193963737723972,18.796355336840143,22.9701227427057,7.481420527729985,0.5375231941439602,0.24246081312381199,0.0,0.0,624.0,0.3,0.0,4703.724208949955,1112.7596239992424,1623187046.4812405,0.10087097084145018,0.07827818411751167,68.58370221087482,33.35805186157073,40288.79554517906,0.31760190623081935,0.2797823870752261,0.0,0.0,40.90000000000009,0.0,-0.2,4.0,1.0,7513.1,0.7777777777777778,0.4375
New Mexico,1.8206751054852321,0.32383966244725737,2280.0896624472575,0.3076446108587459,0.07578211625301319,26.084858820428025,10.60274221031513,9.259782133498152,0.5734221515186143,0.4222774843060109,0.0,0.0,553.0,0.24305555555555552,0.0,254.91817821323409,2.3015641220999954,40080614.7364083,0.10268096715739077,0.08116050668885427,15.966157277605468,1.5170906769537527,6330.925267005471,0.32043871045395056,0.28488683137143117,0.0,0.0,33.0,0.0,-0.13662962962962952,3.0,1.0,5443.0,0.7573015873015883,0.44475000000000053
New York,36.40244991413852,7.5084373211219235,14322.615500858616,0.3198850693439531,0.07148549835264492,99.3059839748265,87.9126337012531,15.036473349583042,0.49659194635396925,0.3191040526047052,0.0,0.0,872.0,0.3,0.0,1244400.1715239724,34117.05041079005,7224289231.866606,0.09734923279113859,0.07593828082083845,1115.526858271002,184.7080139322332,84995.81890814751,0.3120083857705408,0.2755690128095655,0.0,0.0,39.0,0.0,-0.175,7.0,2.0,12093.0,0.75,0.4333333333333333
North Carolina,2.8927071995024103,0.8323744363240554,2441.787591354377,0.32158760676579223,0.068422233180189,73.22657592771007,51.210246361226176,9.345599544770526,0.4837261156250146,0.31220644830099425,0.0,0.0,376.0,0.3,0.0,2488.9598706015013,91.90253493660342,83521607.16856156,0.09598815301690194,0.07689976428882747,49.889476551688745,9.586580982634185,9139.015656434864,0.3098195491199707,0.2773080674788014,0.0,0.0,24.0,0.0,-0.1777777777777778,3.0,1.0,4108.0,0.75,0.45
North Dakota,1.4572538860103628,0.2849740932642487,1135.5854922279793,0.30931442188797853,0.08683376171465143,7.52702863307107,9.191734437551462,3.7268209549334745,0.4402293102130601,0.6904053042988678,0.0,0.0,285.0,0.29444444444444445,0.0,15.706341606016025,1.7422901419998222,4749712.650269147,0.07976359739280696,0.07538579682267248,3.9631227089273966,1.319958386465203,2179.3835482239347,0.2824244985705152,0.2745647406763521,0.0,0.0,56.0,0.0,-0.1875,4.0,1.0,2662.0,0.7,0.5
Ohio,2.647316538882804,0.7613484239990264,3121.4583181209687,0.29902826693222256,0.07386900634098091,48.513757894884044,48.583982916956565,10.858391397882047,0.5996303095222263,0.4281638850333901,0.0,0.0,709.0,0.25,0.0,1267.443758925238,89.93634423800685,120746331.170396,0.09733367716356392,0.08026792617021468,35.60117636996337,9.48347743383232,10988.463549122598,0.31198345655429216,0.28331594761011014,0.0,0.0,30.0,0.0,-0.1666666666666666,3.0,1.0,5194.0,0.7483939393939395,0.5
Oklahoma,1.573502722323049,0.5275257108287962,2212.4597701149423,0.32754452000113565,0.06938713418948032,10.92568228757573,10.602195511593479,9.347722112263842,0.4563185093401703,0.4061166581450972,0.0,0.0,740.0,0.3,0.0,28.219321682347378,4.435833886293756,75056043.97613488,0.09830117827183821,0.08307420793114866,5.312186149067762,2.10614194352939,8663.489134069188,0.31353018717794656,0.2882259667884708,0.0,0.0,23.0,0.0,-0.2,4.0,1.0,3117.0,0.7659259259259257,0.4412499999999998
Oregon,2.8138177710843375,0.9331701807228916,2910.401731927711,0.3512569831543757,0.05355614757126246,40.08463576913032,32.911256740675185,38.64408041443069,0.32809045499244466,0.14875385852384068,0.0,0.0,951.0,0.3795833333333333,0.0,840.790221384975,60.764314707994025,233969023.0880628,0.0943431677114471,0.08556591382969382,28.996382901751296,7.795146868917482,15296.045995225786,0.30715332931851336,0.2925165189005466,0.0,0.0,45.0,0.0,-0.25,4.0,1.0,6719.500000000003,0.75,0.4166666666666667
Pennsylvania,5.01433864991139,1.0156275173191558,4085.74391815692,0.33496003139333896,0.06042302959322604,41.68190864075307,35.27618733567942,17.86875092345191,0.4080060397767808,0.18184276453497633,0.0,0.0,577.0,0.3333333333333333,0.0,5352.310275333966,145.3773437735958,392874453.12373567,0.09758125018988734,0.07798027705160923,73.15948520413444,12.057252745696086,19821.060847586734,0.3123799772550849,0.2792494889012498,0.0,0.0,32.0,0.0,-0.19999999999999998,4.0,1.0,8408.0,0.75,0.4000000000000001
Rhode Island,14.219066937119676,6.352941176470588,6773.922920892495,0.29318669472048925,0.05423259299934397,10.737406536020382,8.79881257433952,2.2610184430626328,0.7100602268378406,0.16494631521705092,0.0,0.0,307.0,0.2,0.0,3778.061668233314,806.407699665231,241229920.96965647,0.10417707875812031,0.08047897600917137,61.465939090144175,28.3973185294885,15531.578186702614,0.3227647421236098,0.2836881668472821,0.0,0.0,11.0,0.0,-0.20999999999999996,37.80000000000001,15.0,48188.0,0.7975000000000002,0.37900000000000006
South Carolina,6.506183745583039,2.1780035335689045,4310.015459363957,0.32183791016384244,0.049049405878579415,14.471139726441582,11.83377077614124,9.708119417437223,0.5235179685254272,0.31104028708299025,0.0,0.0,687.0,0.3,0.0,1518.7361526414309,138.89141165531245,165403202.1504456,0.09500410512682005,0.07772029877727481,38.970965508201495,11.785220051204494,12860.917624743795,0.30822735947157587,0.27878360564652077,0.0,0.0,25.0,0.0,-0.25,9.0,2.0,9943.0,0.75,0.4
South Dakota,1.3726708074534162,0.15527950310559005,863.6708074534162,0.33795294336443404,0.057896303737239294,6.784012174815761,3.7523114690932395,3.140125253115414,0.23325797424198985,0.5172449386756401,0.0,0.0,114.0,0.3666666666666666,0.0,19.935248447204977,0.25698757763975155,3605987.6347049684,0.08478624601716186,0.07151507675172578,4.464890642244777,0.506939422061208,1898.9438208396184,0.29118077892807737,0.2674230295837024,0.0,0.0,26.0,0.0,-0.275,4.0,1.0,1959.0,0.7333333333333333,0.3571428571428571
Tennessee,6.446066886481394,1.5784267545925577,3288.970089495996,0.3118577714866449,0.06097808902750924,43.32040156648055,45.02708588125938,6.213448455877244,0.562258819385324,0.47716963905904713,0.0,0.0,435.0,0.2888888888888889,0.0,11188.146796069974,458.2533295384504,119575067.27048324,0.09614035363362783,0.07484300021436278,105.77403649322443,21.4068523968016,10935.03851252858,0.310065079674619,0.2735744875063513,0.0,0.0,26.0,0.0,-0.1999999999999999,3.0,1.0,6009.5,0.75,0.4166666666666666
Texas,5.851580633561084,2.0380855863218805,4581.392722874236,0.3205218083798969,0.05867470051715592,37.75311294424587,29.658010368464822,9.294130073857039,0.5052615090746445,0.31040937496427395,0.0,0.0,628.0,0.3,0.0,3411.806073495383,537.1646603338504,280219748.2187533,0.10058990824252492,0.08151512813333746,58.41066746319017,23.17681298914608,16739.76547681458,0.3171591213295385,0.28550854301287987,0.0,0.0,31.0,0.0,-0.23749999999999993,4.0,1.0,8026.0,0.75,0.4375
Utah,1.8369942196531792,0.3491329479768786,2228.2387283236994,0.24358218691460845,0.05599019353163333,38.64096375848501,39.02447094894125,12.421538213853012,0.9530103256726105,0.1962409551999379,0.0,0.0,709.0,0.0,0.0,725.9537492018169,33.6547852512562,141581041.60347366,0.09360884578541695,0.05661805227269967,26.943528892886636,5.801274450606194,11898.783198439816,0.30595562715109026,0.2379454817236496,0.0,0.0,44.900000000000006,0.0,-0.10437499999999993,2.0,1.0,3310.0,0.7,0.33500000000000224
Vermont,1.2955145118733509,0.23043095866314864,6713.598944591029,0.37842058309199283,0.0276718458769694,14.95446825064679,9.8815831766305,0.6917599241224914,0.25066844113391173,-0.02910355612800399,0.0,0.0,3384.0,0.4,0.0,26.76646753874171,0.7989675077731122,46579034.49570318,0.10459494511321372,0.09373768738098694,5.173631948519503,0.8938498239486945,6824.883478544024,0.32341141772240156,0.3061661107650338,0.0,0.0,122.0,0.0,-0.3125,3.0,1.0,16164.0,0.8333333333333334,0.4375
Virginia,3.9582245430809397,0.9062228024369017,4114.298520452568,0.3261086869982882,0.06572294363959458,47.22811462523835,20.444956810767803,26.121609392747995,0.4851037061184359,0.23617195776404948,0.0,0.0,1035.5,0.3,0.0,3571.4933578046225,75.44038781890103,381205804.8614649,0.09781045310840668,0.0799957184969465,59.76197250597258,8.68564262555748,19524.492435437725,0.3127466276531318,0.2828351436737424,0.0,0.0,41.0,0.0,-0.2,4.0,1.0,5365.5,0.7666666666666666,0.4045535714285714
Washington,1.4947235120303926,0.3693541578725201,2258.628113127902,0.3408531140237858,0.07532821389404978,16.506242947702706,12.628649545733122,17.797765293932418,0.38666332028539957,0.294700221997593,0.0,0.0,712.5,0.3333333333333333,0.0,46.75583029085936,2.5255710837498615,62172576.58913519,0.10013372312821527,0.08904114883743795,6.837823505389662,1.589204544339671,7884.9588831607225,0.3164391302102432,0.29839763544210257,0.0,0.0,40.0,0.0,-0.22253571428571428,3.0,1.0,4219.400000000009,0.75,0.5
West Virginia,2.626686656671664,0.6761619190404797,1598.08095952024,0.31912599985438117,0.058764317034263665,11.279037200834358,9.76316420358638,7.322822139463571,0.49148881153037943,0.1969410759443181,0.0,0.0,273.0,0.2625,0.0,156.55562308935623,10.186262724493604,27566066.17962186,0.10367954493611076,0.09570946307672544,12.512218951463256,3.1915925060216574,5250.3396251692,0.32199308212461764,0.3093694604784471,0.0,0.0,23.0,0.0,-0.21866666666666665,4.0,1.0,4465.0,0.7724999999999999,0.469375
Wisconsin,3.229565772669221,0.73786717752235,2012.8633461047255,0.3295234728012943,0.07848503791012376,31.142287454601185,20.900127475426093,8.383793894933735,0.4517940439590046,0.32307617879371137,0.0,0.0,390.0,0.3125,0.0,1159.4289179844939,35.93797155948446,28886225.633826934,0.10076619738000187,0.09089965883532408,34.05038792707792,5.994828734791717,5374.5907410543305,0.3174369187413491,0.30149570284719496,0.0,0.0,16.0,0.0,-0.2,3.0,1.0,5137.0,0.7678571428571428,0.5
Wyoming,4.52465483234714,1.106508875739645,2608.0887573964496,0.3353265087695561,0.06648870883586813,12.58043438327057,12.819734150637949,8.161276573663736,0.4741516443251938,0.5557094170986,0.0,0.0,492.0,0.3291666666666666,0.0,1596.1985016098745,117.05187454685772,199948609.08499184,0.09655967138156685,0.0748813569396893,39.9524530111716,10.819051462436885,14140.318563773302,0.31074052098425603,0.2736445814184693,0.0,0.0,19.0,0.0,-0.2,5.0,1.0,2480.0,0.75,0.4412500000000005
